"censusblock_id","tr10","tr50","tr500","tr100","tr25","tr2","tr5"
8159,0.5038826121,0.4099687506,0.3067138289,0.3740799623,0.4537869849,0.5934592288,0.5434066609
8160,0.8605791197,0.8022576323,0.7165210427,0.7778283695,0.8267138064,0.9175321151,0.8854486237
8161,0.8472505783,0.7907552613,0.7074799779,0.7628751243,0.8160470797,0.906043453,0.8729588643
8162,0.8794827196,0.8336983301,0.7727555755,0.8109527841,0.8536616806,0.9320285687,0.9008215014
8163,0.8786453214,0.8376893621,0.7745181302,0.8172579588,0.8561880478,0.9233307864,0.8979907118
8164,0.8450918661,0.7891566366,0.7222097346,0.7694927269,0.8124807831,0.9031077649,0.869038399
8165,0.7485310233,0.6952367926,0.6219203797,0.6704093569,0.7196890521,0.8067800222,0.7684342622
8166,0.7893334175,0.7404056809,0.6635229442,0.7164515627,0.7620609414,0.8443305846,0.8081451329
8167,0.8329620558,0.7688481738,0.6813762771,0.7414122548,0.797906606,0.8898929302,0.8584367177
8168,0.8252447883,0.750214024,0.652236786,0.7177320206,0.7812226913,0.8990854152,0.8590466124
8169,0.8858109721,0.8343786168,0.7659638732,0.8128853755,0.8567596884,0.9349739282,0.9066081446
8170,0.8130654375,0.7484371413,0.6541827451,0.719068058,0.7770607359,0.8821473412,0.8450016877
8171,0.8886446323,0.8388687975,0.7668626648,0.8178924534,0.8598898088,0.9314777995,0.9060657967
8172,0.8220900422,0.7573957221,0.6664044007,0.7289390084,0.7853638524,0.8910112172,0.8496814744
8173,0.9025891497,0.8632206484,0.8061771232,0.8429514451,0.8777643612,0.9403044946,0.9190581647
8174,0.901361272,0.8641151816,0.8115589074,0.8441650135,0.8814959192,0.9407317486,0.9170115556
8175,0.7726837789,0.6908360144,0.5802607562,0.6558280025,0.7267037735,0.856841492,0.8068946048
8176,0.6193562486,0.537329789,0.4289130486,0.5017618023,0.5740148042,0.7085693485,0.6580531079
8177,0.8475603451,0.7722832523,0.6920524709,0.7453984302,0.8034599453,0.9209940499,0.8743632337
8178,0.8257807106,0.7551055464,0.6575684036,0.7241488192,0.7862254748,0.9006361794,0.8568727981
8179,0.8951444264,0.8378602502,0.7612268632,0.814674899,0.8534923002,0.9414330523,0.9154141269
8180,0.8607312502,0.7995455225,0.7192528678,0.7736382995,0.8257435686,0.9225883166,0.8857866254
8181,0.768753169,0.6804254556,0.5548033026,0.6419637277,0.7182862193,0.8627470255,0.8078151985
8182,0.4819030683,0.4619199627,0.4415288581,0.454777891,0.4687670504,0.6779125533,0.5663409085
8183,0.8098977398,0.7629472199,0.6970184813,0.7391701563,0.7831119513,0.8601547823,0.8306469584
8184,0.8055348812,0.7599760507,0.6934540205,0.7397328624,0.7797248104,0.8526519516,0.8252491241
8185,0.8164779024,0.7637377226,0.7145707634,0.7497943512,0.7860955285,0.8584200352,0.836180592
8186,0.8783495138,0.8464815693,0.795299122,0.8317891331,0.8628115289,0.9081313518,0.8912201018
8187,0.6543233604,0.5671304849,0.4492270699,0.5287742499,0.6065692459,0.745026794,0.6890057235
8188,0.7916485757,0.7401563558,0.6553935345,0.721503458,0.7471109854,0.8521251955,0.8108357775
8189,0.530842717,0.4355176635,0.3130125775,0.391515121,0.4781827382,0.6243356792,0.5652051502
8190,0.629854872,0.5368790799,0.4217863779,0.4926423024,0.5763801423,0.7228336483,0.6694823684
8191,0.8420651117,0.7927320815,0.7386586361,0.7769796163,0.8146060642,0.8841751057,0.8609543229
8192,0.7794362489,0.6954780077,0.566300949,0.6559454393,0.731009948,0.8657510856,0.8180756813
8193,0.6433780163,0.5662117814,0.456256955,0.5305154243,0.6036247087,0.7199880239,0.6752072718
8194,0.7215241869,0.6520274251,0.5516128297,0.61840857,0.6838040272,0.795431757,0.7509224636
8195,0.4259035585,0.4028585233,0.3761008797,0.3925433482,0.4141248593,0.5581134648,0.4688159809
8197,0.7433838085,0.6697479968,0.5776052809,0.6396837952,0.7006723494,0.8160705075,0.7701692015
8198,0.4119734625,0.3228123432,0.154436763,0.2718423212,0.3582505465,0.4982020044,0.4284824524
8199,0.7120941613,0.6331997352,0.5170251181,0.5954486678,0.6720007638,0.7836973513,0.7429385554
8200,0.5346454537,0.4603505859,0.3491784829,0.4239195009,0.5012784977,0.6154224945,0.572811872
8201,0.8395711245,0.7897619841,0.7213670671,0.7681195675,0.8138625293,0.8869379334,0.8606314749
8202,0.6642158718,0.5812545894,0.4579527971,0.5432289771,0.6159596025,0.7476747813,0.6992578813
8203,0.7949462247,0.7251827035,0.6645605441,0.7113907376,0.7557277958,0.8684880161,0.8291351106
8204,0.7207044457,0.6489601756,0.5340587295,0.6176553168,0.6806485649,0.7955335718,0.7521807538
8205,0.8729972943,0.8110061668,0.736887138,0.788582085,0.8384258184,0.9336979201,0.898990258
8206,0.5267329559,0.4182798161,0.3630167452,0.382570376,0.4656122884,0.6399875125,0.5734626584
8207,0.5455181958,0.4409650658,0.326894002,0.396087396,0.4879327602,0.6538458138,0.5875166499
8208,0.6696982972,0.5911922024,0.4850987703,0.5547212415,0.628853028,0.7577668788,0.7035863927
8209,0.7072208197,0.6345729543,0.5292393568,0.6019242586,0.6670725432,0.7751994402,0.7353381102
8210,0.6518720306,0.5695203635,0.4511371957,0.5318994157,0.6060692293,0.737957784,0.6871802326
8211,0.7139198293,0.6397554654,0.5386397481,0.6088727265,0.6726864407,0.7883170176,0.7466903485
8212,0.8544822936,0.8090952908,0.7496331781,0.7909651619,0.8294616881,0.9001316913,0.8744552803
8213,0.803864853,0.7570208743,0.6808559922,0.7353236961,0.7774294833,0.8614351234,0.8259454837
8214,0.5751452952,0.4538101172,0.3401669745,0.4010096901,0.506712112,0.7070707921,0.6294030013
8215,0.5807273475,0.4964559506,0.3729873148,0.4602031451,0.5315228705,0.6729791834,0.6226462459
8216,0.7583407042,0.6500860783,0.4909675536,0.5964270125,0.6969690877,0.860068748,0.8034541347
8217,0.7049617127,0.5822021172,0.4043459672,0.5239647068,0.6339314164,0.8334387904,0.7655224976
8218,0.7017271165,0.5816398548,0.413059065,0.5276454933,0.6348764634,0.8230629203,0.7522059068
8219,0.6981927338,0.582545261,0.4338917053,0.5332666798,0.6355187589,0.8203562703,0.7482030906
8220,0.7206960867,0.619630889,0.4868887735,0.5781859196,0.6650750741,0.8352772988,0.7695302776
8221,0.7654285849,0.6717553152,0.5590581888,0.6356213168,0.7126485164,0.858193801,0.8014805181
8222,0.7511876407,0.6541693124,0.5255848501,0.6095185045,0.6957995255,0.8521093289,0.794438535
8223,0.7259376898,0.6239945703,0.4835308125,0.5778908441,0.6667596722,0.8354094727,0.7693824372
8224,0.8607758826,0.7937065735,0.7092441137,0.7691564424,0.8246694862,0.9279938017,0.8915184248
8225,0.7357442869,0.6363508766,0.5010533233,0.5911248913,0.67918878,0.8476956884,0.7839347552
8226,0.3644326902,0.3153108551,0.3068602646,0.3149488779,0.3259720394,0.4912326902,0.4127146751
8227,0.5861780986,0.497756754,0.3648351805,0.4572183051,0.5366393531,0.6749700144,0.6277250197
8228,0.3515847578,0.347328246,0.3392081106,0.3448339863,0.3524584912,0.3697581944,0.3551754144
8229,0.699357678,0.62661431,0.5172848326,0.5914322854,0.6598144947,0.7752039343,0.7308926799
8230,0.5543636282,0.4475307888,0.3872262969,0.4005218294,0.4970822751,0.6603289232,0.5981055334
8231,0.6303740959,0.5447556099,0.4390716919,0.5062500892,0.5827501379,0.715834637,0.6671859165
8232,0.4247786774,0.3872076207,0.3654074794,0.3787959665,0.3914399801,0.5411313327,0.4710350547
8233,0.3896841652,0.380179622,0.3686510959,0.3746515999,0.386292385,0.4128035481,0.3937046773
8234,0.8050557237,0.7148556222,0.6225936032,0.6828870163,0.7542482095,0.8874253451,0.8430784428
8235,0.8806671571,0.8282316917,0.7647172187,0.8034678661,0.8533652059,0.9301977175,0.8996951438
8236,0.9154399098,0.8695100389,0.8073537883,0.8475510063,0.8851603905,0.9527863024,0.9316442587
8237,0.878366359,0.8214700859,0.7472729017,0.7979292171,0.845400481,0.9316268851,0.9025852448
8238,0.6842076164,0.6402930322,0.5545308947,0.6026185875,0.6668167697,0.7531089348,0.71158681
8239,0.716933467,0.6457325731,0.5509126933,0.6169955568,0.6785433374,0.7824907843,0.7458069495
8240,0.8823686646,0.8308938408,0.7523218275,0.809699613,0.8515625475,0.9306516569,0.9048868801
8241,0.814635532,0.737198288,0.6325791211,0.704961946,0.7735476903,0.8869039459,0.8462771001
8242,0.8931258397,0.8446414399,0.7718730752,0.8227462298,0.8654291353,0.934348612,0.9113734902
8243,0.9140863085,0.8754882306,0.8153286672,0.8575626785,0.8921623545,0.9483906195,0.9287478216
8244,0.9421407146,0.9167451103,0.8643584729,0.9007264317,0.9277482916,0.9637153073,0.9513707837
8245,0.9059463875,0.8647450278,0.8141685708,0.8518292412,0.8862481433,0.9473069488,0.9258458386
8246,0.7390751793,0.6418429499,0.5101286588,0.5998626759,0.6864482611,0.8327948864,0.7795294937
8247,0.9389365237,0.9091742411,0.8636542298,0.8967312949,0.9221778418,0.9634689887,0.9512064503
8248,0.9259712359,0.8867347025,0.8361793202,0.870298986,0.9046846126,0.9570669876,0.9389143226
8249,0.9358836081,0.9033459135,0.8622961319,0.8901979876,0.9201116862,0.9599120109,0.9459083967
8250,0.9399548257,0.9092655037,0.8652456463,0.8956155751,0.9211547882,0.9644087878,0.9500875117
8251,0.8347741343,0.7706800697,0.6788326247,0.7413572635,0.7984134673,0.8989725309,0.8635787704
8252,0.9165107726,0.8804053064,0.827748662,0.8650310096,0.8963557097,0.9488161891,0.9303334651
8253,0.8350879104,0.7697456469,0.6767394899,0.7414899517,0.798149759,0.8945234624,0.861483946
8254,0.9017246497,0.8538362118,0.7817806131,0.831531768,0.8749475962,0.9412122743,0.9181855346
8255,0.9339281242,0.904403479,0.8580394018,0.8927403146,0.9155692338,0.9664,0.9471569735
8256,0.9377669607,0.9081637663,0.8568871024,0.8943146329,0.920118712,0.9664,0.9512279393
8257,0.9196011831,0.8809738335,0.8296657248,0.8684141315,0.8997134277,0.9552626816,0.9384553376
8258,0.9112403316,0.8728161179,0.8086996206,0.8527226015,0.8917007818,0.9457758923,0.9272247037
8259,0.9345188948,0.900678384,0.8523849982,0.8863892131,0.9172487337,0.9618808791,0.9467085867
8260,0.8858079839,0.8334379106,0.7577679543,0.8114851928,0.856858551,0.9354152464,0.9078649714
8261,0.8451411191,0.7847921524,0.7000082679,0.7601747896,0.8112901196,0.912657434,0.878500239
8262,0.9219617516,0.8885960999,0.8272892655,0.8694067001,0.9047887084,0.9543178608,0.9373274112
8263,0.886276247,0.8335904263,0.7620477441,0.8133007092,0.8573213033,0.9340384767,0.9075435853
8264,0.9172233586,0.8749730444,0.822421166,0.8568229596,0.8941539902,0.9538791329,0.934899072
8265,0.9284356575,0.8894255107,0.8333880925,0.8677830803,0.9046345727,0.9588274899,0.9422903898
8266,0.8988265349,0.8565386319,0.7963050802,0.8374056989,0.8718609223,0.941784376,0.9151963568
8267,0.8913969805,0.8465781384,0.7779006561,0.8253782542,0.8636591335,0.9395604098,0.912986538
8268,0.9150579832,0.8771671829,0.822110456,0.8602752514,0.8935073454,0.9533157682,0.9335729307
